annotation_id,review_id,cleaned_review_text,rating,human_label,notes
1,2b7823b8ec21ac7cc90b1fe14d2a3bc0850771a2c734aa0ee209b8958f35fb3a,"After the second use the right earbud stopped working 😩 Up until then the sound quality was decent, as for the battery life I was not given the opportunity to go through a full charge cycle 😩",1.0,FUNCTIONALITY,
2,d6ce1822c7140a402ab39faae61789716768e1b531784b173dee43b905cba8ed,The right ear bud stopped working less than a month using.,1.0,FUNCTIONALITY,
3,b00a817831bdea1e0b47ff417b5c8453c2e29a43e9cb69dcfa2a8c323719aba4,"I loved the sound coming from these phones but I have strangely shaped ear canals and, despite trying several different size buds, I couldn't get them to stay in my ears. Reluctantly, I returned them.",3.0,FIT_COMPATIBILITY,
4,1fe5c401709a56fc689debb3a46d370ed6c01aa5046095bde003de95a33acf3a,Wasn't working good like I want I can't pair it whith my iPad and the fm radio doesn't work too,1.0,FUNCTIONALITY,
5,73afb1ad68afa0940eb5b9f9a93985b5e8198b1b079c15b43abcfa86e5b5096c,These headphones are comfortable for my toddler. They’re no too loud. The sound quality is perfect!,5.0,NO_COMPLAINT,
6,be6e5c9e51c3b310045603920993e52ce64ed663c05bc6ce546fad6d0871328c,Sound goes in and out. Can’t listen to music because of losing sound. No matter what phone I use the problem never goes away. Little or no instructions on troubleshooting. I recommend you spend your money on something else.,1.0,FUNCTIONALITY,
7,a4bd743b9272db0a128b450ce6fa0c59b8d5dadd127f4587940418574f15db61,This is my second pair that arrived broken . Will be returning them both .,5.0,SHIPPING,
8,e5a784608c41e858b73298ada9eb6c28d89b4be520b55a80ceb6b3470eee16ac,Arrived broken. No sound from right earbud... :/,1.0,SHIPPING,
9,d832e7143694a1b94c34941a38e3146eb5f25b43ccc3e254b958a64ba4405cf3,After 46 days an earpiece fell apart in my hands. Amazon refused to warranty,1.0,BUILD_QUALITY,
10,8b7978f3c481cdb784ac37c980f032f5719afdab699b516c04ae7b276d8db9f8,Nice But they keep falling out of my ear,4.0,FIT_COMPATIBILITY,
11,5ac613b1734b784a973ac2d919a5fcf1c08bcc327e2f385a514d2797f292aa32,"I loved these when they first came, but in about a month they broke in half, then about a month later the sound stopped working.",2.0,BUILD_QUALITY,
12,2bd3394e68dfd7f3b10480ebf1fbe1aba6341d9e9b2152ed72ddaca42a409ce4,It arrived broken and with only one side working inside of an undamaged package. A complete and total waste of money.,1.0,SHIPPING,
13,6a9ce664a6fcc74b358753ee10599570bd919d316303b4056d092bee48bd693c,"The sound quality is okay, but the ear pads are too small. If you wear them for a while it makes your ears hurt and that's the drawback. The size is really made for kids, not adults.",2.0,FIT_COMPATIBILITY,
14,078938518f1f2e96988cdb0e837b102eed073b81352e217cf20d66563fcf08db,[[VIDEOID:ac3dc003f47c544085f12882c2b79707]] The pigment is very vibrant and a little goes a long way. The scooper included was great as well.,5.0,NO_COMPLAINT,
15,256707d1f1f8bbeb183e21a29d8a7609212699b4b1aca91b3c441cc59c0a425c,"These head phones are too small for the average adult, and they are built like a piece of junk. They didn't last one week.",1.0,FIT_COMPATIBILITY,
16,292909f2877329e07088cb87fc7cf2c3750935660f12fb6ddc633af646a702c9,"Works great. Took me a while to figure out how to put it on due to the ear pieces being labeled opposite ear, so that was slightly frustrating. Range is good. Connects easily with my phone. Would’ve gotten 5 stars if it wasn’t for the initial frustration.",4.0,USABILITY_SETUP,
17,8cf8079d9419e3aa361788bf31279cc3e0713b943e88ee8f7d4d4581f74e8a83,It earned 2 stars because it's super cute and my daughter loves it and the bluetooth works well. 2 stars because it fell apart only after 6 months and my daughter is super careful with her things. The warranty card in the box says it runs 1 year but the company says only 3 months. And if it breaks the company will maybe repair it? Too much hassle and disappointment for headphones that are pricey.,2.0,BUILD_QUALITY,
18,4fdb118ba10e84537f82f0933aa383b37b675236a9a8563548f990a247f800c2,Comfy and works great,5.0,NO_COMPLAINT,
19,640a822dfd0b0b4db5fedd7e1a6a27261ba57bd1792b57179554e7f46a916572,"I chose this device because I work outside and needed hands free calling capabilities. I use it with a iPhone 3GS and it hooked up quickly no problem. The battery will out outlast my phone and I rarely need to charge it. Works for music and pandora and phone calls. I dive a newer prius with bluetooth and sometimes I forget that I'm still wearing the unit and when I turn on my car it automatically switches to the car bluetooth feature which is nice. I also have a att liberate mifi and it takes the same charger so I usually charge it on the way to to work when it needs it. One charger makes it convenient. My only concern is NOT about how the unit functions which has noise canceling and works great, is the warning paper that this unit can cause cancer or something to that effect. It does lay around the neck next to your thyroid but I am not sure if they the manufacture have to have this ""written insurance"" for themselves because it is an electronic that lies directly on the skin or if it in fact at some point caused issues with consumers. This is the only reason I didn't give 5 stars. You will people wondering what you are wearing because it looks like headphones on initial glance. I've had people think I'm talking to myself when the unit is hidden in the collar of my jacket and under a hoodie, so beware of staring. Most people don't talk while they are wearing headphones... Get the idea of what it looks like to other people in case you are concerned with that. It also has a very nice glowing blue ring when you are talking. I think the white is more obvious than the black color, so if you want to be low key, go with black. I have used this unit weekly for almost a year without fail.",4.0,OTHER,
20,618158c401820894d30e5b0923da0b94018a1388eec95b02d292c9443675372b,"Love these head phones the only issue is there are no instructions, well there is a sheet of paper, it says which button does what but blue tooth is not mentioned. Had to do a lot of trial and error before giving it to my son who figured it out. A simple sheet os real instructions would have saved a lot of frustration",4.0,USABILITY_SETUP,
21,5711e1e90f8d0596529cdab71acea963f093aa80d3b31347e666876be7c333ba,Fell apart the 1st day using it. Returned it immediately!,1.0,BUILD_QUALITY,
22,d6924efa5e116eec861ca962399ab5dfd41be9bf1394ba2c9059c3fd009fa47b,Excellent sound quality. The ball the buds are stored in is “fierce yet adorable”. My 8 year old freaked out when she got her own ear buds. She knows how to tap to pause or change the volume and loves having her own special pair. I highly recommend.,5.0,NO_COMPLAINT,
23,332f316b12730f6580bda15f91eb26c38e9c6ef6f4e4e3d2c9017d453dd9f3f2,"Great sound for the price. If I could I'd go 4.5 stars, only issue is they can get a little uncomfortable if I'm moving around a lot and wear them for a long period of time because of the way the little stabilizing arm piece juts out sits in your ear. Otherwise, love them. I had a more expensive pair of Bose in ear buds that eventually fell apart, and I'd say these were about 80% as good for 1/3 the price.",4.0,FIT_COMPATIBILITY,
24,944bd85be8d466bc12f5442b34339ec68c5f6861cac86b79f0ae5192b5945f83,"I just received, it's a Christmas gift. The generic white box and no instructions, looked like something you would have gotten from Wish. I am too embarrassed to even give it as a gift.",1.0,SHIPPING,
